Mark Mylod,2022,The Menu,US,Good,,
Jafar Panahi,2022,No Bears,Iran,Good,,
Elizabeth Meriwether,2022,The Dropout,US,Good,,
Christian Petzold,2020,Undine,Germany,Special,,
Robert Zemeckis,2020,The Witches,US,Good,,
Leos Carax,2021,Annette,US,Good,,
Julia Ducournau,2021,Titane,France,Special,Cannes Palme d'Or,
David Fincher,2020,Mank,US,Good,,
윤가은,2019,우리집,Korea,Special,,
Jordan Peele,2019,Us,US,,,
장준환,2018,1987,Korea,Good,,청룡영화제 최우수 작품상
이준익,2008,님은 먼 곳에,Korea,Good,,
김보라,2018,벌새,Korea,Good,,
Pawel Pawlikowski,2018,Cold War,Poland,Good,,
Damien Chazelle,2018,First man,US,Good,,
Alfonso Cuarón,2018,Roma,Mexico,Good,Venice Leone d’oro,Oscar Best International Film
Stephen Chbosky,2017,Wonder,US,Good,,
Michael Haneke,2017,Happy End,France,,,
Paul Verhoeven,2016,Elle,France,Good,,César Award for Best Film
Barry Jenkins,2016,Moonlight,US,Good,,Oscar Best Picture
Tom McCarthy,2015,Spotlight,US,Special,,Oscar Best Picture
Justin Kurzel,2015,Macbeth,US,Good,,
John Crowley,2015,Brooklyn,US,Good,,
Imtiaz Ali,2014,Highway,India,Good,,
Christian Petzold,2014,Phoenix,Germany,Special,,
Uberto Pasolini,2013,Still Life,UK,Good,,
Spike Jonze,2013,Her,US,Good,,
Pawel Pawlikowski,2013,Ida,Poland,Masterpiece,,Oscar Best International Film
Asghar Farhadi,2013,The Past,France,Good,,
Michael Haneke,2012,Amour,France,Good,Cannes Palme d'Or,Oscar Best International Film
Michel Hazanavicius,2011,The Artist,France,Good,,Oscar Best Picture
이창동,2010,시,Korea,Good,,
장훈,2011,고지전,Korea,Good,,